
MatchID,Team,Player,Goals,Assists,Passes,Tackles,Possession,Formation
118,PSG,Player 72,3,0,21,1,57.9,4-2-3-1
92,PSG,Player 73,0,2,18,2,54.4,4-4-2
483,Manchester City,Player 74,1,2,38,2,67.1,3-4-3
255,Barcelona,Player 75,0,1,77,1,50.0,3-4-3
200,Real Madrid,Player 76,2,0,51,1,41.5,4-2-3-1
164,Arsenal,Player 77,3,0,76,5,67.0,4-4-2
488,Liverpool,Player 78,2,0,25,1,49.5,3-4-3
251,Chelsea,Player 79,3,1,87,2,61.1,4-2-3-1
1,Chelsea,Player 80,3,1,39,3,43.8,4-3-3
195,Manchester City,Player 81,0,1,35,2,40.8,3-5-2
274,Chelsea,Player 82,1,2,39,2,44.3,4-3-3
408,Manchester City,Player 83,1,0,96,3,65.9,4-2-3-1
492,PSG,Player 84,1,0,93,3,41.5,4-4-2
227,Bayern Munich,Player 85,2,0,48,2,60.8,4-2-3-1
189,Manchester City,Player 86,1,1,75,2,41.0,4-3-3
342,Barcelona,Player 87,1,0,24,1,54.8,4-2-3-1
462,Manchester City,Player 88,2,2,75,1,56.4,4-4-2
334,Bayern Munich,Player 89,1,0,30,5,62.9,3-4-3
319,Real Madrid,Player 90,3,2,68,1,56.8,3-4-3
111,Chelsea,Player 91,0,0,15,3,61.8,4-3-3
14,Manchester City,Player 92,1,1,91,5,58.8,4-4-2
233,Manchester City,Player 93,0,0,52,1,68.0,3-5-2
250,Chelsea,Player 94,1,1,69,2,63.5,4-3-3
266,Inter Milan,Player 95,0,2,42,2,68.5,3-4-3
313,Liverpool,Player 96,3,0,95,5,59.7,3-4-3
201,PSG,Player 97,3,2,69,4,43.8,4-2-3-1
418,PSG,Player 98,0,0,27,0,68.8,4-4-2
138,Barcelona,Player 99,2,2,87,1,57.6,4-4-2
395,Barcelona,Player 100,3,0,80,0,57.3,4-2-3-1
132,Barcelona,Player 101,0,1,73,1,44.7,3-5-2
176,Manchester City,Player 102,3,1,78,4,45.8,4-4-2
264,PSG,Player 103,2,1,53,5,60.1,4-3-3
299,Real Madrid,Player 104,0,1,10,1,45.4,4-3-3
222,Inter Milan,Player 105,0,1,98,5,62.6,3-4-3
112,PSG,Player 106,1,1,34,2,55.3,4-2-3-1
168,Juventus,Player 107,2,1,61,1,60.4,4-2-3-1
363,Liverpool,Player 108,1,2,94,1,46.9,3-5-2
489,Real Madrid,Player 109,2,0,44,4,46.1,4-4-2
133,Chelsea,Player 110,1,2,46,5,48.9,3-4-3
169,Inter Milan,Player 111,3,1,69,1,47.2,4-4-2
151,Chelsea,Player 112,1,0,61,1,43.4,4-2-3-1
331,Liverpool,Player 113,3,1,32,2,69.4,3-5-2
345,Real Madrid,Player 114,0,0,22,1,43.0,3-4-3
25,Real Madrid,Player 115,1,2,51,4,65.4,4-2-3-1
439,Real Madrid,Player 116,0,0,65,3,65.3,4-3-3
319,Juventus,Player 117,3,0,54,1,68.9,4-2-3-1
296,Juventus,Player 118,3,1,71,3,59.7,4-3-3
151,Liverpool,Player 119,2,1,60,1,53.5,3-4-3
86,Juventus,Player 120,3,1,62,5,57.2,4-3-3
317,Liverpool,Player 121,1,1,90,4,54.3,4-4-2
153,Arsenal,Player 122,0,1,15,3,48.5,3-5-2
286,PSG,Player 123,2,0,56,2,52.3,3-4-3
266,Liverpool,Player 124,3,0,59,4,60.7,3-4-3
349,Arsenal,Player 125,0,2,11,0,41.1,3-5-2
187,Arsenal,Player 126,1,0,36,0,40.3,4-3-3
111,Barcelona,Player 127,2,1,57,1,58.0,4-4-2
239,Barcelona,Player 128,2,2,75,2,52.3,4-2-3-1
88,Real Madrid,Player 129,2,2,39,3,45.3,3-5-2
27,Liverpool,Player 130,1,1,47,3,43.7,3-5-2
257,Manchester City,Player 131,1,0,81,5,68.9,4-2-3-1
345,Real Madrid,Player 132,2,0,67,2,49.5,4-2-3-1
139,Real Madrid,Player 133,0,1,70,4,53.9,3-4-3
207,Liverpool,Player 134,0,2,99,4,47.4,4-2-3-1
303,Liverpool,Player 135,0,1,18,2,59.3,4-4-2
222,Manchester City,Player 136,1,0,69,1,45.5,4-2-3-1
160,Real Madrid,Player 137,0,0,87,4,69.8,3-4-3
174,Barcelona,Player 138,3,1,63,1,62.8,3-4-3
18,Liverpool,Player 139,3,2,77,1,63.5,4-2-3-1
287,Liverpool,Player 140,3,0,19,4,68.9,3-5-2
472,Inter Milan,Player 141,2,1,87,2,57.2,3-4-3
493,Barcelona,Player 142,1,2,27,1,62.8,3-4-3
133,Bayern Munich,Player 143,2,1,90,3,45.6,3-4-3
58,Liverpool,Player 144,2,0,59,4,56.3,3-5-2
176,Juventus,Player 145,2,1,15,5,44.6,3-4-3
485,Arsenal,Player 146,2,1,80,3,54.1,3-4-3
426,Chelsea,Player 147,2,1,21,4,41.6,3-4-3
182,Barcelona,Player 148,1,0,79,0,68.2,3-4-3
223,Liverpool,Player 149,0,0,93,2,50.1,3-4-3
426,Arsenal,Player 150,3,0,22,4,53.3,4-2-3-1
44,Bayern Munich,Player 151,1,2,61,2,47.0,3-5-2
333,Liverpool,Player 152,2,0,14,2,67.4,3-5-2
118,PSG,Player 153,3,1,45,0,55.5,4-2-3-1
418,Liverpool,Player 154,1,1,41,4,69.2,4-4-2
66,Bayern Munich,Player 155,2,1,21,4,40.2,4-2-3-1
263,Inter Milan,Player 156,2,2,54,2,52.6,4-4-2
456,Chelsea,Player 157,0,2,57,2,40.9,4-4-2
445,Barcelona,Player 158,1,2,45,5,42.0,4-3-3
52,Liverpool,Player 159,3,2,34,0,56.8,4-4-2
414,Bayern Munich,Player 160,2,0,43,0,47.3,3-5-2
403,Real Madrid,Player 161,1,1,99,4,59.6,4-4-2
261,Liverpool,Player 162,3,0,70,2,68.6,3-4-3
415,Chelsea,Player 163,3,1,36,1,67.3,3-4-3
209,Manchester City,Player 164,2,0,35,1,69.4,3-4-3
35,Chelsea,Player 165,1,2,57,5,47.3,4-4-2
407,Inter Milan,Player 166,1,2,89,4,41.3,3-5-2
171,PSG,Player 167,2,1,26,1,43.5,4-2-3-1
445,Inter Milan,Player 168,0,0,55,4,59.5,3-4-3
409,Bayern Munich,Player 169,3,1,56,5,57.6,4-3-3
17,Arsenal,Player 170,2,2,84,0,53.3,4-4-2
471,Liverpool,Player 171,1,0,64,2,54.4,4-3-3
54,Chelsea,Player 172,0,0,28,1,66.8,3-5-2
158,Inter Milan,Player 173,0,1,28,0,43.0,3-4-3
322,Manchester City,Player 174,1,1,89,4,68.1,4-4-2
74,Arsenal,Player 175,2,0,63,4,59.7,4-4-2
329,Barcelona,Player 176,1,1,65,4,50.9,3-4-3
80,Barcelona,Player 177,1,1,33,1,59.7,4-2-3-1
25,Arsenal,Player 178,1,1,46,1,51.6,4-3-3
22,Inter Milan,Player 179,3,2,100,1,60.1,3-4-3
23,Arsenal,Player 180,0,0,83,4,66.4,3-5-2
73,Juventus,Player 181,1,1,99,0,43.7,3-4-3
353,Liverpool,Player 182,2,2,71,1,48.5,3-5-2
378,Barcelona,Player 183,1,0,89,1,44.2,3-5-2
393,PSG,Player 184,2,1,10,3,54.4,4-2-3-1
7,Juventus,Player 185,0,0,50,1,43.3,4-4-2
35,Chelsea,Player 186,0,0,12,5,53.1,4-2-3-1
189,Inter Milan,Player 187,3,2,38,2,64.2,3-5-2
426,Inter Milan,Player 188,3,1,83,5,63.9,4-4-2
135,Chelsea,Player 189,3,1,82,5,47.8,4-2-3-1
328,Liverpool,Player 190,2,2,93,2,59.3,4-4-2
473,Arsenal,Player 191,2,2,30,0,53.7,3-5-2
91,Bayern Munich,Player 192,1,2,89,1,45.7,4-4-2
45,PSG,Player 193,0,2,35,3,60.9,3-4-3
288,Liverpool,Player 194,1,1,36,0,69.7,3-4-3
87,Liverpool,Player 195,3,1,87,5,60.4,3-5-2
446,Bayern Munich,Player 196,1,1,10,0,46.5,4-2-3-1
318,Real Madrid,Player 197,3,2,29,5,63.2,4-2-3-1
445,Liverpool,Player 198,2,2,34,0,47.7,3-4-3
421,Inter Milan,Player 199,2,2,28,5,57.2,4-4-2
423,Real Madrid,Player 200,1,0,89,2,43.1,4-3-3
122,Liverpool,Player 201,3,1,89,1,58.2,3-4-3
495,Inter Milan,Player 202,2,0,85,0,56.3,4-4-2
42,Bayern Munich,Player 203,1,2,66,2,46.3,3-5-2
314,Juventus,Player 204,1,2,92,0,44.7,3-4-3
464,Chelsea,Player 205,3,1,15,4,61.6,4-3-3
385,Juventus,Player 206,1,0,36,2,44.6,3-4-3
399,Arsenal,Player 207,3,1,19,3,40.8,3-5-2
292,PSG,Player 208,2,1,27,1,42.5,4-3-3
371,Manchester City,Player 209,0,2,26,2,43.4,3-5-2
260,Bayern Munich,Player 210,2,0,39,0,64.7,4-2-3-1
403,Real Madrid,Player 211,0,1,80,2,54.7,4-4-2
441,Arsenal,Player 212,1,1,71,2,42.7,3-4-3
183,Inter Milan,Player 213,0,0,77,3,54.2,4-2-3-1
481,Real Madrid,Player 214,0,1,94,4,66.0,3-5-2
388,Arsenal,Player 215,2,2,42,1,52.4,3-5-2
116,Arsenal,Player 216,2,1,90,0,52.8,4-2-3-1
15,Liverpool,Player 217,1,1,49,4,59.4,4-3-3
7,Arsenal,Player 218,0,1,80,2,46.7,3-4-3
433,Chelsea,Player 219,1,2,20,2,63.0,4-3-3
366,Arsenal,Player 220,3,0,11,1,56.3,4-2-3-1
329,Juventus,Player 221,0,2,42,0,57.8,4-3-3
177,Chelsea,Player 222,3,2,25,4,65.8,3-4-3
270,Barcelona,Player 223,2,1,22,2,65.1,3-4-3
446,Juventus,Player 224,3,0,26,1,69.5,3-5-2
27,Real Madrid,Player 225,0,0,95,3,55.2,4-4-2
147,Arsenal,Player 226,3,2,24,0,46.6,4-2-3-1
227,Juventus,Player 227,3,2,61,3,69.2,4-4-2
307,Arsenal,Player 228,1,0,70,3,42.5,4-3-3
354,Manchester City,Player 229,1,0,63,0,67.9,3-4-3
134,Liverpool,Player 230,2,2,90,5,58.1,4-4-2
98,Real Madrid,Player 231,0,1,58,4,50.2,3-4-3
217,Manchester City,Player 232,3,0,75,4,51.9,4-2-3-1
390,Inter Milan,Player 233,3,0,93,5,44.3,3-5-2
24,Juventus,Player 234,2,0,14,5,53.3,4-4-2
371,Inter Milan,Player 235,1,1,40,0,68.3,4-3-3
250,Liverpool,Player 236,1,1,59,2,50.1,4-4-2
330,Real Madrid,Player 237,1,2,61,5,48.0,4-3-3
192,Real Madrid,Player 238,2,2,14,1,44.1,4-4-2
300,Arsenal,Player 239,3,1,31,4,60.0,3-5-2
160,Real Madrid,Player 240,1,1,43,5,44.0,4-4-2
295,PSG,Player 241,3,1,78,4,62.7,4-2-3-1
44,Arsenal,Player 242,1,0,96,2,67.3,4-2-3-1
290,PSG,Player 243,3,2,90,2,51.4,4-4-2
467,Juventus,Player 244,2,1,23,5,54.2,3-5-2
143,Real Madrid,Player 245,0,0,39,4,41.6,4-2-3-1
450,Arsenal,Player 246,3,1,58,0,48.2,3-4-3
279,Juventus,Player 247,1,2,85,1,41.8,4-2-3-1
436,Manchester City,Player 248,2,2,93,1,44.2,4-2-3-1
54,Juventus,Player 249,1,1,68,0,62.8,4-4-2
17,Manchester City,Player 250,1,0,82,2,46.8,4-4-2
253,Juventus,Player 251,3,1,98,0,47.2,4-4-2
317,Real Madrid,Player 252,3,2,80,1,40.2,4-2-3-1
249,PSG,Player 253,3,0,82,0,56.3,4-4-2
50,Chelsea,Player 254,0,1,40,2,42.0,3-5-2
168,Chelsea,Player 255,0,1,30,2,61.1,4-4-2
168,Manchester City,Player 256,1,0,27,5,63.6,4-2-3-1
293,PSG,Player 257,3,0,51,4,66.8,4-4-2
489,PSG,Player 258,3,0,93,4,58.7,4-3-3
71,Juventus,Player 259,2,1,48,0,47.7,4-3-3
180,Juventus,Player 260,3,0,77,1,53.5,4-3-3
218,Manchester City,Player 261,3,0,87,4,65.9,3-4-3
417,Bayern Munich,Player 262,0,2,25,0,49.5,4-2-3-1
169,Liverpool,Player 263,3,0,32,2,45.8,4-2-3-1
241,Bayern Munich,Player 264,2,2,21,0,40.4,4-2-3-1
441,Arsenal,Player 265,0,1,64,1,52.5,4-3-3
107,Liverpool,Player 266,3,1,72,1,49.8,4-2-3-1
250,Juventus,Player 267,3,2,96,5,64.2,3-5-2
469,Bayern Munich,Player 268,0,0,88,4,61.2,3-4-3
170,Barcelona,Player 269,0,0,47,4,69.5,3-4-3
432,Manchester City,Player 270,3,0,75,1,61.6,4-4-2
241,PSG,Player 271,3,2,81,0,55.9,3-4-3
62,Chelsea,Player 272,3,2,92,1,59.5,3-5-2
247,Barcelona,Player 273,0,1,83,4,65.5,4-3-3
373,Barcelona,Player 274,2,0,43,3,67.7,4-2-3-1
316,Real Madrid,Player 275,0,2,25,4,45.5,4-3-3
103,Manchester City,Player 276,2,1,63,1,62.8,4-2-3-1
401,Chelsea,Player 277,0,2,82,5,41.1,3-4-3
382,PSG,Player 278,0,1,33,2,47.4,4-2-3-1
223,Barcelona,Player 279,2,0,91,0,61.9,3-4-3
136,Real Madrid,Player 280,3,2,54,1,60.6,3-4-3
429,Real Madrid,Player 281,2,1,16,1,56.9,3-5-2
12,Bayern Munich,Player 282,2,2,17,3,56.7,4-3-3
251,Inter Milan,Player 283,1,1,94,1,41.3,3-4-3
15,Inter Milan,Player 284,0,0,27,4,51.6,3-4-3
444,Barcelona,Player 285,0,2,86,1,65.8,4-2-3-1
360,Liverpool,Player 286,2,1,93,4,47.9,4-2-3-1
199,Real Madrid,Player 287,2,0,34,2,44.8,4-4-2
395,Real Madrid,Player 288,0,0,98,4,63.3,3-5-2
458,Chelsea,Player 289,2,2,53,5,66.1,3-4-3
144,PSG,Player 290,2,2,42,4,46.1,3-5-2
95,Inter Milan,Player 291,2,2,31,4,45.7,4-3-3
352,Liverpool,Player 292,2,1,81,0,57.5,4-2-3-1
328,Barcelona,Player 293,3,0,77,3,52.5,4-4-2
415,Chelsea,Player 294,1,1,83,1,47.2,4-4-2
500,Liverpool,Player 295,0,2,87,2,55.5,4-4-2
23,Inter Milan,Player 296,1,0,100,3,70.0,4-2-3-1
266,Barcelona,Player 297,3,2,17,2,55.9,4-4-2
380,Manchester City,Player 298,2,0,82,3,44.6,4-4-2
42,Barcelona,Player 299,2,2,40,0,66.0,3-5-2
132,Arsenal,Player 300,0,2,65,1,46.2,4-3-3
236,Bayern Munich,Player 301,1,1,50,5,65.9,4-2-3-1
309,Juventus,Player 302,2,2,88,5,65.4,4-3-3
448,Chelsea,Player 303,2,1,45,3,64.8,4-3-3
266,PSG,Player 304,0,0,63,1,63.4,3-4-3
399,Liverpool,Player 305,2,0,57,1,55.4,4-2-3-1
241,Arsenal,Player 306,3,2,24,2,50.7,4-3-3
284,Chelsea,Player 307,3,2,50,1,55.6,4-3-3
477,Chelsea,Player 308,1,2,82,1,69.2,4-3-3
314,PSG,Player 309,3,2,51,1,58.1,4-4-2
197,Inter Milan,Player 310,1,2,71,3,52.8,4-4-2
338,Barcelona,Player 311,3,1,86,1,62.2,3-4-3
218,Real Madrid,Player 312,0,1,51,0,50.2,4-3-3
3,Barcelona,Player 313,0,2,82,1,54.6,4-4-2
224,Barcelona,Player 314,0,1,23,1,47.1,3-4-3
194,Bayern Munich,Player 315,3,0,26,0,66.2,4-3-3
247,PSG,Player 316,3,1,91,4,58.7,4-3-3
254,Bayern Munich,Player 317,0,0,96,5,55.1,3-5-2
25,Manchester City,Player 318,1,1,12,4,40.2,3-4-3
107,Barcelona,Player 319,0,1,14,3,68.4,4-3-3
62,Manchester City,Player 320,2,2,67,4,57.2,4-3-3
328,Juventus,Player 321,1,0,32,2,50.9,4-2-3-1
271,Liverpool,Player 322,0,2,79,0,42.9,3-4-3
369,Barcelona,Player 323,0,1,63,4,68.0,4-3-3
256,Manchester City,Player 324,2,1,90,1,60.6,4-3-3
338,Real Madrid,Player 325,0,1,35,2,49.2,4-2-3-1
330,Chelsea,Player 326,1,1,72,1,47.5,3-4-3
252,Inter Milan,Player 327,3,1,48,1,43.2,3-4-3
378,Chelsea,Player 328,3,1,50,5,58.9,4-3-3
432,PSG,Player 329,1,1,77,5,61.8,4-3-3
52,Inter Milan,Player 330,2,0,33,5,60.5,3-4-3
480,Arsenal,Player 331,3,1,57,2,42.2,4-3-3
46,Juventus,Player 332,0,1,29,0,42.8,3-4-3
199,Bayern Munich,Player 333,3,0,66,1,66.1,4-4-2
321,Bayern Munich,Player 334,2,0,61,3,62.1,4-4-2
158,Arsenal,Player 335,1,2,12,0,66.3,3-5-2
489,Real Madrid,Player 336,1,1,18,4,45.4,4-4-2
383,Chelsea,Player 337,3,1,85,5,47.0,3-5-2
293,Bayern Munich,Player 338,1,1,10,5,54.5,3-5-2
45,Manchester City,Player 339,1,0,97,4,45.6,4-4-2
226,Chelsea,Player 340,3,1,15,2,44.0,4-4-2
135,Juventus,Player 341,3,2,84,2,59.0,4-4-2
145,Liverpool,Player 342,0,0,10,2,69.3,4-3-3
45,Juventus,Player 343,0,2,19,1,45.9,4-3-3
39,PSG,Player 344,3,0,70,2,64.1,3-5-2
330,Juventus,Player 345,3,2,61,1,56.5,4-2-3-1
62,Chelsea,Player 346,1,0,23,4,54.4,3-4-3
74,Arsenal,Player 347,0,1,12,4,54.4,4-4-2
260,Chelsea,Player 348,0,0,24,4,47.8,4-4-2
361,Arsenal,Player 349,3,1,17,5,65.3,4-3-3
397,Inter Milan,Player 350,2,0,60,4,69.8,4-3-3
105,PSG,Player 351,3,1,59,3,54.2,3-4-3
407,Bayern Munich,Player 352,0,2,91,3,55.7,4-2-3-1
117,Chelsea,Player 353,1,2,31,0,65.3,4-4-2
257,PSG,Player 354,3,2,87,1,60.7,4-2-3-1
422,Manchester City,Player 355,2,1,62,4,50.4,4-3-3
448,Bayern Munich,Player 356,1,0,11,2,68.3,4-2-3-1
406,Bayern Munich,Player 357,3,0,84,3,64.5,3-4-3
358,Arsenal,Player 358,0,2,33,0,47.4,3-5-2
280,Manchester City,Player 359,0,0,43,5,61.1,3-5-2
49,Chelsea,Player 360,2,1,66,0,42.8,4-4-2
172,Liverpool,Player 361,1,2,82,1,59.0,3-4-3
249,Bayern Munich,Player 362,1,0,65,3,66.8,4-2-3-1
428,Inter Milan,Player 363,1,2,31,3,59.6,4-3-3
59,Inter Milan,Player 364,2,2,61,3,63.2,4-2-3-1
263,PSG,Player 365,2,2,58,3,52.4,4-3-3
104,PSG,Player 366,2,1,21,1,40.5,4-2-3-1
39,Chelsea,Player 367,2,2,67,0,65.8,4-4-2
96,Chelsea,Player 368,3,0,30,1,59.3,4-3-3
252,Inter Milan,Player 369,2,2,97,2,56.2,4-4-2
107,Chelsea,Player 370,3,0,38,5,68.9,4-2-3-1
360,PSG,Player 371,3,2,78,1,49.4,4-3-3
206,Liverpool,Player 372,2,1,33,4,43.5,4-4-2
264,Manchester City,Player 373,2,2,59,3,65.3,3-5-2
353,Arsenal,Player 374,0,2,77,0,67.2,4-2-3-1
342,Bayern Munich,Player 375,0,1,52,1,53.1,3-4-3
166,PSG,Player 376,3,0,56,5,52.6,4-2-3-1
383,Juventus,Player 377,2,0,27,5,55.9,3-5-2
480,Juventus,Player 378,0,2,16,0,57.4,4-2-3-1
38,Barcelona,Player 379,3,2,33,3,58.7,3-4-3
298,Inter Milan,Player 380,2,0,98,2,68.7,3-5-2
405,Inter Milan,Player 381,2,0,13,0,43.3,4-3-3
309,Bayern Munich,Player 382,3,2,41,4,67.5,4-4-2
450,Bayern Munich,Player 383,3,0,100,5,40.8,4-2-3-1
55,Arsenal,Player 384,1,0,16,4,46.8,4-3-3
287,Barcelona,Player 385,0,2,26,4,50.9,3-5-2
211,Arsenal,Player 386,0,2,40,4,59.2,4-2-3-1
478,Liverpool,Player 387,2,1,35,5,68.6,4-4-2
92,Arsenal,Player 388,1,1,16,4,56.6,3-5-2
27,Real Madrid,Player 389,2,2,75,5,64.9,3-5-2
476,PSG,Player 390,1,1,90,2,56.9,4-2-3-1
15,Real Madrid,Player 391,0,0,48,3,57.7,3-5-2
358,Barcelona,Player 392,0,1,96,1,62.3,4-3-3
73,PSG,Player 393,0,2,36,4,45.9,4-4-2
78,Chelsea,Player 394,1,0,67,4,62.7,4-4-2
209,Barcelona,Player 395,0,2,84,2,44.7,4-4-2
346,Inter Milan,Player 396,1,1,35,0,49.5,4-2-3-1
104,Barcelona,Player 397,2,1,91,0,56.8,3-5-2
497,Inter Milan,Player 398,1,2,81,4,43.2,3-4-3
45,Bayern Munich,Player 399,0,0,50,2,62.3,4-4-2
66,Liverpool,Player 400,0,1,53,1,54.1,4-2-3-1
325,PSG,Player 401,1,0,99,0,53.4,4-3-3
466,Inter Milan,Player 402,0,2,45,4,60.7,3-4-3
195,Real Madrid,Player 403,1,2,23,3,65.5,3-4-3
343,Juventus,Player 404,1,1,70,0,53.9,3-5-2
261,PSG,Player 405,2,0,88,1,52.8,3-4-3
299,Chelsea,Player 406,0,0,69,4,65.9,4-3-3
391,Real Madrid,Player 407,2,1,58,3,64.7,4-3-3
453,Arsenal,Player 408,3,1,27,0,65.3,3-4-3
408,Barcelona,Player 409,2,0,99,3,64.5,3-5-2
206,Liverpool,Player 410,0,2,75,4,47.2,4-4-2
226,PSG,Player 411,1,1,77,4,69.6,4-4-2
67,Inter Milan,Player 412,2,0,12,4,69.2,4-3-3
269,Bayern Munich,Player 413,2,1,67,0,55.2,4-2-3-1
73,Juventus,Player 414,1,0,96,5,43.5,4-2-3-1
103,Liverpool,Player 415,3,2,70,5,67.9,4-2-3-1
46,Manchester City,Player 416,2,0,57,2,51.5,3-4-3
22,Barcelona,Player 417,0,2,12,2,47.7,4-2-3-1
349,Manchester City,Player 418,3,0,53,5,67.9,4-3-3
406,Real Madrid,Player 419,0,1,17,0,46.2,3-5-2
295,Arsenal,Player 420,2,2,97,5,41.5,4-3-3
35,Chelsea,Player 421,0,0,43,1,59.7,3-4-3
266,Manchester City,Player 422,3,1,82,4,68.0,3-4-3
418,Manchester City,Player 423,1,2,83,0,57.8,4-4-2
138,Bayern Munich,Player 424,0,2,97,3,59.1,4-4-2
81,Bayern Munich,Player 425,3,1,13,3,46.5,4-4-2
454,Juventus,Player 426,1,2,45,5,62.0,4-3-3
493,Barcelona,Player 427,2,1,18,4,44.4,4-4-2
341,Manchester City,Player 428,1,0,99,4,52.8,3-4-3
70,Inter Milan,Player 429,1,0,38,5,42.4,3-5-2
270,Arsenal,Player 430,3,1,79,2,42.0,3-5-2
467,Liverpool,Player 431,0,1,54,4,40.5,3-4-3
135,Barcelona,Player 432,2,2,83,2,63.9,4-4-2
203,Bayern Munich,Player 433,2,1,27,2,53.6,4-2-3-1
98,Juventus,Player 434,1,0,23,4,66.1,4-2-3-1
238,Barcelona,Player 435,2,0,94,3,44.8,4-4-2
377,PSG,Player 436,0,1,14,4,45.0,4-4-2
239,Liverpool,Player 437,2,1,78,4,57.9,4-3-3
74,Liverpool,Player 438,1,1,100,2,51.8,3-5-2
235,Chelsea,Player 439,2,2,81,2,61.3,4-2-3-1
83,Manchester City,Player 440,0,2,84,3,50.6,4-2-3-1
195,Chelsea,Player 441,3,2,15,2,55.1,3-5-2
